"NAME" "SEASON" "GAME_NUM" "DATE" "TEAM" "OPP" "THREE_PT" "THREE_PT_ATTEMPT" "THREE_PT_PCT"
"Stephen Curry" "13-14" 7 "2013-11-12" "GSW" "DET" 2 4 0
"Stephen Curry" "13-14" 8 "2013-11-14" "GSW" "OKC" 4 8 0
"Stephen Curry" "13-14" 9 "2013-11-16" "GSW" "UTA" 0 5 0
"Stephen Curry" "13-14" 10 "2013-11-18" "GSW" "UTA" 4 7 0
"Stephen Curry" "13-14" 11 "2013-11-23" "GSW" "POR" 2 9 0
"Stephen Curry" "13-14" 12 "2013-11-26" "GSW" "NOP" 2 5 0
"Stephen Curry" "13-14" 13 "2013-11-27" "GSW" "DAL" 6 10 0
"Stephen Curry" "13-14" 14 "2013-11-29" "GSW" "OKC" 4 10 0
"Stephen Curry" "13-14" 15 "2013-12-01" "GSW" "SAC" 5 8 0
"Stephen Curry" "13-14" 16 "2013-12-03" "GSW" "TOR" 3 7 0
"Stephen Curry" "13-14" 17 "2013-12-06" "GSW" "HOU" 1 5 0
"Stephen Curry" "13-14" 18 "2013-12-07" "GSW" "MEM" 2 7 0
"Stephen Curry" "13-14" 19 "2013-12-09" "GSW" "CHA" 5 16 0
"Stephen Curry" "13-14" 20 "2013-12-11" "GSW" "DAL" 6 11 0
"Stephen Curry" "13-14" 21 "2013-12-13" "GSW" "HOU" 1 5 0
"Stephen Curry" "13-14" 22 "2013-12-15" "GSW" "PHO" 4 7 0
"Stephen Curry" "13-14" 23 "2013-12-17" "GSW" "NOP" 2 7 0
"Stephen Curry" "13-14" 24 "2013-12-19" "GSW" "SAS" 6 16 0
"Stephen Curry" "13-14" 25 "2013-12-21" "GSW" "LAL" 4 9 0
"Stephen Curry" "13-14" 26 "2013-12-23" "GSW" "DEN" 2 3 0
"Stephen Curry" "13-14" 27 "2013-12-25" "GSW" "LAC" 2 6 0
"Stephen Curry" "13-14" 28 "2013-12-27" "GSW" "PHO" 1 6 0
"Stephen Curry" "13-14" 29 "2013-12-29" "GSW" "CLE" 5 10 0
"Stephen Curry" "13-14" 30 "2013-12-31" "GSW" "ORL" 1 5 0
"Stephen Curry" "13-14" 31 "2014-01-02" "GSW" "MIA" 8 15 0
"Stephen Curry" "13-14" 32 "2014-01-03" "GSW" "ATL" 1 7 0
"Stephen Curry" "13-14" 33 "2014-01-05" "GSW" "WAS" 1 5 0
"Stephen Curry" "13-14" 34 "2014-01-07" "GSW" "MIL" 2 11 0
"Stephen Curry" "13-14" 35 "2014-01-08" "GSW" "BRK" 2 10 0
"Stephen Curry" "13-14" 36 "2014-01-10" "GSW" "BOS" 3 8 0
"Stephen Curry" "13-14" 37 "2014-01-15" "GSW" "DEN" 4 13 0
"Stephen Curry" "13-14" 38 "2014-01-17" "GSW" "OKC" 6 10 0
"Stephen Curry" "13-14" 39 "2014-01-18" "GSW" "NOP" 2 9 0
"Stephen Curry" "13-14" 40 "2014-01-20" "GSW" "IND" 3 11 0
"Stephen Curry" "13-14" 41 "2014-01-24" "GSW" "MIN" 6 10 0
"Stephen Curry" "13-14" 42 "2014-01-26" "GSW" "POR" 5 8 0
"Stephen Curry" "13-14" 43 "2014-01-28" "GSW" "WAS" 2 7 0
"Stephen Curry" "13-14" 44 "2014-01-30" "GSW" "LAC" 4 4 1
"Stephen Curry" "13-14" 45 "2014-01-31" "GSW" "UTA" 8 13 0
"Stephen Curry" "13-14" 46 "2014-02-04" "GSW" "CHA" 1 7 0
"Stephen Curry" "13-14" 47 "2014-02-06" "GSW" "CHI" 4 6 0
"Stephen Curry" "13-14" 48 "2014-02-08" "GSW" "PHO" 3 10 0
"Stephen Curry" "13-14" 49 "2014-02-10" "GSW" "PHI" 6 9 0
"Stephen Curry" "13-14" 50 "2014-02-12" "GSW" "MIA" 4 4 1
"Stephen Curry" "13-14" 51 "2014-02-19" "GSW" "SAC" 1 4 0
"Stephen Curry" "13-14" 52 "2014-02-20" "GSW" "HOU" 5 8 0
"Stephen Curry" "13-14" 53 "2014-02-22" "GSW" "BRK" 3 4 0
"Stephen Curry" "13-14" 54 "2014-02-24" "GSW" "DET" 3 9 0
"Stephen Curry" "13-14" 55 "2014-02-26" "GSW" "CHI" 1 5 0
"Stephen Curry" "13-14" 56 "2014-02-28" "GSW" "NYK" 5 11 0
"Stephen Curry" "13-14" 57 "2014-03-02" "GSW" "TOR" 4 11 0
"Stephen Curry" "13-14" 58 "2014-03-04" "GSW" "IND" 2 5 0
"Stephen Curry" "13-14" 59 "2014-03-05" "GSW" "BOS" 1 4 0
"Stephen Curry" "13-14" 60 "2014-03-07" "GSW" "ATL" 1 4 0
"Stephen Curry" "13-14" 61 "2014-03-09" "GSW" "PHO" 1 5 0
"Stephen Curry" "13-14" 62 "2014-03-11" "GSW" "DAL" 1 5 0
"Stephen Curry" "13-14" 63 "2014-03-12" "GSW" "LAC" 2 5 0
"Stephen Curry" "13-14" 64 "2014-03-14" "GSW" "CLE" 5 10 0
"Stephen Curry" "13-14" 65 "2014-03-16" "GSW" "POR" 6 12 0
"Stephen Curry" "13-14" 66 "2014-03-18" "GSW" "ORL" 3 6 0
"Stephen Curry" "13-14" 67 "2014-03-20" "GSW" "MIL" 3 5 0
"Stephen Curry" "13-14" 68 "2014-03-22" "GSW" "SAS" 1 4 0
"Stephen Curry" "13-14" 69 "2014-03-28" "GSW" "MEM" 5 8 0
"Stephen Curry" "13-14" 70 "2014-03-30" "GSW" "NYK" 6 12 0
"Stephen Curry" "13-14" 71 "2014-04-01" "GSW" "DAL" 3 8 0
"Stephen Curry" "13-14" 72 "2014-04-02" "GSW" "SAS" 1 4 0
"Stephen Curry" "13-14" 73 "2014-04-04" "GSW" "SAC" 2 5 0
"Stephen Curry" "13-14" 74 "2014-04-06" "GSW" "UTA" 5 10 0
"Stephen Curry" "13-14" 75 "2014-04-10" "GSW" "DEN" 2 7 0
"Stephen Curry" "13-14" 76 "2014-04-11" "GSW" "LAL" 4 5 0
"Stephen Curry" "13-14" 77 "2014-04-13" "GSW" "POR" 7 14 0
"Stephen Curry" "13-14" 78 "2014-04-14" "GSW" "MIN" 7 13 0
"Stephen Curry" "14-15" 1 "2014-10-29" "GSW" "SAC" 2 9 0
"Stephen Curry" "14-15" 2 "2014-11-01" "GSW" "LAL" 3 8 0
"Stephen Curry" "14-15" 3 "2014-11-02" "GSW" "POR" 1 5 0
"Stephen Curry" "14-15" 4 "2014-11-05" "GSW" "LAC" 4 8 0
"Stephen Curry" "14-15" 5 "2014-11-08" "GSW" "HOU" 6 9 0
"Stephen Curry" "14-15" 6 "2014-11-09" "GSW" "PHO" 4 10 0
"Stephen Curry" "14-15" 7 "2014-11-11" "GSW" "SAS" 0 7 0
"Stephen Curry" "14-15" 8 "2014-11-13" "GSW" "BRK" 3 7 0
"Stephen Curry" "14-15" 9 "2014-11-15" "GSW" "CHO" 3 6 0
"Stephen Curry" "14-15" 10 "2014-11-16" "GSW" "LAL" 5 9 0
"Stephen Curry" "14-15" 11 "2014-11-21" "GSW" "UTA" 2 6 0
"Stephen Curry" "14-15" 12 "2014-11-23" "GSW" "OKC" 2 6 0
"Stephen Curry" "14-15" 13 "2014-11-25" "GSW" "MIA" 8 11 0
"Stephen Curry" "14-15" 14 "2014-11-26" "GSW" "ORL" 6 8 0
"Stephen Curry" "14-15" 15 "2014-11-28" "GSW" "CHO" 1 10 0
"Stephen Curry" "14-15" 16 "2014-11-30" "GSW" "DET" 1 3 0
"Stephen Curry" "14-15" 17 "2014-12-02" "GSW" "ORL" 3 9 0
"Stephen Curry" "14-15" 18 "2014-12-04" "GSW" "NOP" 3 6 0
"Stephen Curry" "14-15" 19 "2014-12-06" "GSW" "CHI" 1 5 0
"Stephen Curry" "14-15" 20 "2014-12-08" "GSW" "MIN" 1 7 0
"Stephen Curry" "14-15" 21 "2014-12-10" "GSW" "HOU" 3 5 0
"Stephen Curry" "14-15" 22 "2014-12-13" "GSW" "DAL" 3 11 0
